vocab,definition
Alliteration, gleiche Anfangsbuchstaben in einem Satz
Anapher, Wiederholung in Sätzanfängen
Antithese, inhaltliche Gegenstellung in einem Sazu
Chiasmus, Achsensymmetrische Sätze
Euphenismus, Beschönigung
Ironie, Gegenteil dessen- was gemeint ist
Klimax, dreiteilige Steigerung
Metapher, Bedeutungsübertragung
Neologismus, Wortneuschöpfung
Paradoxon, Widerspruch
Parallelismus, widerholende Satzbau in Teilsätzen
Personifikation, Vermenschlichung
Rhetorische Frage, Frage-auf die keine Antwort erwartet wird
Symbol, Sinnbild
Tautologie, Doppelaussage/Wiederholung von Worten mit gleicher Bedeutung
Vergleich, vergleichen zweier Saschverhalte
Wortspiel, Doppeldeutigkeit
